"Symbol","Description","IPO Date","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"RTX","Raytheon Technologies Corporation","12/31/1999","Common stocks","Large cap","Industrials","$140,467,974,240","2.27%","USA","Analyze"
"PM","Philip Morris International Inc","03/17/2008","Common stocks","Large cap","Consumer Staples","$139,939,523,432","5.50%","USA","Analyze"
"QCOM","Qualcomm Inc","03/02/2001","Common stocks","Large cap","Information Technology","$138,427,250,000","2.39%","USA","Analyze"
"WFC","Wells Fargo","03/13/2001","Common stocks","Large cap","Financials","$138,279,185,456","3.11%","USA","Analyze"
"T","AT&T Inc.","03/07/2001","Common stocks","Large cap","Communication Services","$131,619,800,000","7.38%","USA","Analyze"
"HON","Honeywell International Inc","02/21/2001","Common stocks","Large cap","Industrials","$124,888,775,904","2.13%","USA","Analyze"
"AMGN","Amgen Inc","02/06/2001","Common stocks","Large cap","Health Care","$124,469,861,078","3.37%","USA","Analyze"
"INTU","Intuit Inc","02/21/2001","Common stocks","Large cap","Information Technology","$121,333,509,941","0.67%","USA","Analyze"
"AXP","American Express","02/08/2001","Common stocks","Large cap","Financials","$121,104,161,489","1.27%","USA","Analyze"
"INTC","Intel Corporation Corp","02/21/2001","Common stocks","Large cap","Information Technology","$120,097,110,000","4.94%","USA","Analyze"
"LMT","Lockheed Martin Corp","08/06/2001","Common stocks","Large cap","Industrials","$119,089,413,898","2.46%","USA","Analyze"
"BA","Boeing","02/08/2001","Common stocks","Large cap","Industrials","$118,577,142,351","0.00%","USA","Analyze"
"LOW","Lowes Companies Inc","08/06/2001","Common stocks","Large cap","Consumer Discretionary","$117,740,690,554","2.07%","USA","Analyze"
"COP","ConocoPhillips","02/13/2001","Common stocks","Large cap","Energy","$117,514,429,551","5.13%","USA","Analyze"
"ANTM","Anthem Inc","10/30/2001","Common stocks","Large cap","Materials","$116,342,693,132","0.99%","USA","Analyze"
"DE","Deere & Company","02/14/2001","Common stocks","Large cap","Industrials","$116,113,882,675","1.15%","USA","Analyze"
"UNP","Union Pacific Corp","03/12/2001","Common stocks","Large cap","Industrials","$113,930,749,062","2.77%","USA","Analyze"
"CAT","Caterpillar Inc","02/12/2001","Common stocks","Large cap","Industrials","$113,306,854,326","2.13%","USA","Analyze"
"SBUX","Starbucks Corp","03/05/2001","Common stocks","Large cap","Consumer Discretionary","$113,114,106,000","2.05%","USA","Analyze"
"IBM","International Business Machines Co","02/21/2001","Common stocks","Large cap","Information Technology","$111,909,619,229","5.25%","USA","Analyze"
"SPGI","S&P Global Inc","03/06/2001","Common stocks","Large cap","Financials","$110,639,250,000","1.04%","USA","Analyze"
"ELV","Elevance Health, Inc.","10/30/2001","Common stocks","Large cap","Health Care","$105,977,405,429","1.19%","USA","Analyze"
"PLD","Prologis, Inc","03/01/2001","REITs","Large cap","Real Estate","$105,409,420,350","2.81%","USA","Analyze"
"GS","Goldman Sachs Group Inc","02/21/2001","Common stocks","Large cap","Financials","$105,095,298,447","2.99%","USA","Analyze"
"SYK","Stryker Corp","03/07/2001","Common stocks","Large cap","Health Care","$103,905,834,976","1.03%","USA","Analyze"
"AMAT","Applied Material Inc","02/05/2001","Common stocks","Large cap","Information Technology","$103,763,640,467","0.84%","USA","Analyze"
"MDT","Medtronic Plc","01/02/2001","Common stocks","Large cap","Health Care","$103,200,967,030","3.46%","USA","Analyze"
